"OccurrenceId","scientificName","kingdom","phylum","class","order","family","genus","specificEpithet","infraSpecificEpithet","rights","createdBy","associatedMedia"
"http://www1.ala.org.au/gallery2/d/36734-2/Agathiphaga+queenslandensis+Dumbleton_+1952+Qld+Broutha+Scrub.jpg","Agathiphaga queenslandensis","","","","Lepidoptera","Agathiphagidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/128/1281245/raw.jpg"
"http://www1.ala.org.au/gallery2/d/8988-2/agathiphaga_queenslandensis_02.jpg","Agathiphaga queenslandensis","","","","Lepidoptera","Agathiphagidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/115/1151701/raw.jpg"
"http://www1.ala.org.au/gallery2/d/8982-2/agathiphaga_queenslandensis_01.jpg","Agathiphaga queenslandensis","","","","Lepidoptera","Agathiphagidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/115/1151692/raw.jpg"
"http://www1.ala.org.au/gallery2/d/20352-4/genduara_pinnalis_02.jpg","Genduara pinnalis","","","","Lepidoptera","Lasiocampidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/166/1661612/raw.jpg"
"http://www1.ala.org.au/gallery2/d/20348-4/genduara_pinnalis_01.jpg","Genduara pinnalis","","","","Lepidoptera","Lasiocampidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/166/1661610/raw.jpg"
"http://www1.ala.org.au/gallery2/d/20274-4/genduara_albicans_02.jpg","Genduara albicans","","","","Lepidoptera","Lasiocampidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/115/1153818/raw.jpg"
"http://www1.ala.org.au/gallery2/d/20270-4/genduara_albicans_01.jpg","Genduara albicans","","","","Lepidoptera","Lasiocampidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/115/1153813/raw.jpg"
"http://www1.ala.org.au/gallery2/d/16292-4/ethmia_sphaerosticha_01.jpg","Ethmia sphaerosticha","","","","Lepidoptera","Ethmiidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/115/1152843/raw.jpg"
"http://www1.ala.org.au/gallery2/d/29834-4/phalangitis_crymorrhoa_01.jpg","Phalangitis crymorrhoa","","","","Lepidoptera","Plutellidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/115/1154383/raw.jpg"
"http://www1.ala.org.au/gallery2/d/34515-4/maroga_melanostigma_02.jpg","Maroga melanostigma","","","","Lepidoptera","Xyloryctidae","","","",,"Len Willan","http://bie.ala.org.au/repo/1006/166/1662369/raw.jpg"
